NUMBER,OWNER,TICKER,CUSIP6,CNAME
91,ADAMS ERIC ASHLEY,INM,457637,INMED PHARMACEUTICALS INC
92,ADAMS FRED R JR,CALM,128030,CAL MAINE FOODS INC
93,ADAMS GREG D,EDGR,279765,EDGAR ONLINE INC
94,ADAMS J KEVIN,-,39260T,GREEN BALLAST INC
95,ADAMS JOSEPH C,FSBW,30263Y,FS BANCORP INC
96,ADAMS JOSEPH P JR,FTAI,34960P,FORTRESS TRNSPRTN AND INFR INV
98,ADAMS JULIAN,GMDA,M47364,GAMIDA CELL LTD
99,ADAMS KENNETH S JR,AE,006351,ADAMS RESOURCES & ENERGY INC
100,ADAMS MARK,JKSM,46650D,JACKSAM CORP
101,ADAMS MARK B,-,00088U,A D A M INC
102,ADAMS MARK W,SGH,G8232Y,SMART GLOBAL HOLDINGS INC
103,ADAMS MARTY E,-,83080P,SKY FINANCIAL GROUP INC
104,ADAMS MICHAEL F,CTE,14160C,CARDIOTECH INTERNATIONAL INC
105,ADAMS MICHAEL THOMAS,LPAD,516648,LAPOLLA INDUSTRIES INC
106,ADAMS P BRADLEY,NTG,89148B,TORTOISE MLP FUND INC
107,ADAMS PATRICK G,TBNC,872229,T BANCSHARES INC
108,ADAMS PHILIP VANJEL,XWES,98145W,WORLD ENERGY SOLUTIONS INC DE
109,ADAMS RICHARD M JR,UBSI,909907,UNITED BANKSHARES INC WEST VIR
111,ADAMS ROBERT G,NHC,635906,NATIONAL HEALTHCARE CORP
112,ADAMS THOMAS WILSON,TROX,Q9235V,TRONOX LTD
113,ADAMS TODD A,RXN,76169B,REXNORD CORP NEW
114,ADAMS TODD ALAN,ZWS,98983L,ZURN WATER SOLUTIONS CORP
115,ADAMS TOM PEDER HERMAN,RST,777780,ROSETTA STONE INC
116,ADAMS W ANDREW,NHR,635905,NATIONAL HEALTH REALTY INC
117,ADAMSON KEELAN I,RIG,H8817H,TRANSOCEAN LTD
118,ADAMSON ROBERT J,MRN,58463F,MEDICAL STAFFING NETWORK HOLDI
119,ADCOCK BRETT,ACHR,03945R,ARCHER AVIATION INC
120,ADCOCK CHARLES W,LRE,50214A,LRR ENERGY L P
121,ADCOCK RICHARD,IBRX,45256X,IMMUNITYBIO INC
122,ADDANTE FRANK A,RUBI,78112V,RUBICON PROJECT INC
123,ADDERLEY TERENCE E,KELY,488152,KELLY SERVICES INC
124,ADDERTON PETER ALAN,APPS,25400W,DIGITAL TURBINE INC
125,ADDESSO DOMINIC JAMES,RE,G3223R,EVEREST RE GROUP LTD
127,ADDISON JIMMY EVAN,SCG,80589M,SCANA CORP
128,ADDISON JOHN AURELIUS JR,PRI,74164M,PRIMERICA INC
129,ADELE STEPHEN D,IFIT,45812J,INTEGRATED SECURITY SYSTEMS IN
130,ADELSON SHELDON G,LVS,517834,LAS VEGAS SANDS CORP
131,ADELSTEIN STEVEN,IACH,45669R,INFORMATION ARCHITECTS CORP
132,ADENT JOHN EDWARD,NEOG,640491,NEOGEN CORP
133,ADER JASON N,ADER,90138P,26 CAPITAL ACQUISITION CORP
134,ADIA JESUS R,FLTB,338735,FLATBUSH FEDERAL BANCORP INC
135,ADILETTA JOHN X,SOSI,834744,SOMERSET INTERNATIONAL GROUP I
136,ADIR JOSEPH,OTEC,675507,OCEANTECH ACQUISITIONS I CORP
137,ADITYA MAHESH,SC,80283M,SANTANDER CONSUMER USA HOLDING
138,ADKERSON RICHARD C,FCX,35671D,FREEPORT-MCMORAN INC
139,ADLER ADAM,DEGH,25856Y,DOUBLE EAGLE HOLDINGS LTD
140,ADLER BARRY MICHAEL,WQNI,92932C,WQN INC
141,ADLER MALCOLM N,MSEI,56064U,MAINSTREAM ENTERTAINMENT INC
142,ADLER PAUL F,GDMK,379439,GLOBAL DIVERSIFIED MARKETING G
143,ADLER ROBIN,NEXT,653339,NEXTEST SYSTEMS CORP
144,ADLER RUSSELL BRUCE,FLST,35952M,FUELSTREAM INC
145,ADLERZ CLIFFORD G,SGRY,86881A,SURGERY PARTNERS INC
146,ADNANI AMIR,UEC,916896,URANIUM ENERGY CORP
147,ADOLF RUEDIGER PHD,FOCS,34417P,FOCUS FINANCIAL PARTNERS INC
148,ADVAITHI REVATHI,FLEX,Y2573F,FLEX LTD
149,ADZEMOVIC ELMEDINA,OVET,69037T,OVERTECH CORP
151,AFFELDT ERIC L,MYCC,18948M,CLUBCORP HOLDINGS INC
152,AGADI HARSHAVARDHAN V,CRDA,224633,CRAWFORD & CO
153,AGAIAN ALEXANDRE,KAZ,09656A,BMB MUNAI INC
154,AGARWAL PRAKASH C,NMGC,640497,NEOMAGIC CORP
155,AGEE JEFFREY D,-,319462,FIRST CITIZENS BANCSHARES INC
156,AGEE KENNETH L,SYNM,871630,SYNTROLEUM CORP
157,AGGARWAL RAJEEV K,CVT,23247G,CVENT INC
158,AGGARWAL SUMIT,ELOX,29014R,ELOXX PHARMACEUTICALS INC
159,AGGERS JANE F,HKFI,409900,HANCOCK FABRICS INC
160,AGHDAEI AMIR,NVST,29415F,ENVISTA HOLDINGS CORP
161,AGLIALORO JOHN,CYBI,23252E,CYBEX INTERNATIONAL INC
162,AGOLLI ARTAN,BEAX,07402D,BEARING MINERAL EXPLORATION IN
163,AGRAWAL PARAG,TWTR,90184L,TWITTER INC
164,AGRAWAL SUDHIR,IDRA,45168K,IDERA PHARMACEUTICALS INC
165,AGREE JOEL N,ADC,008492,AGREE REALTY CORP
168,AGRESTI ROBERT A,SGLT,86606R,AEROBIC CREATIONS INC
169,AGUERO CARLOS E,MEA,591176,METALICO INC
170,AGUGGIA PAUL M,CSBK,186873,CLIFTON BANCORP INC
171,AGUIAR MICHAEL W,THRX,88338T,THERAVANCE INC
172,AGUILAR GALE RAMON,FRPT,345203,FORCE PROTECTION INC
173,AGUIRRE FERNANDO,CQB,170032,CHIQUITA BRANDS INTERNATIONAL
174,AGWUNOBI JOHN O,HLF,G4412G,HERBALIFE NUTRITION LTD
175,AHARON SAGIV,USDR,903448,UAS DRONE CORP
176,AHEARN MICHAEL J,FSLR,336433,FIRST SOLAR INC
177,AHERN CHRIS,ZAGG,98884U,ZAGG INC
179,AHERN JOHN E,NMTI,629294,NMT MEDICAL INC
180,AHLERS DOUGLAS P,VERF,925138,VERSAILLES FINANCIAL CORP
181,AHLIN MICHAEL L,SILA,380481,GOLD AMERICAN MINING CORP
182,AHMAD ZAHOOR,PMCM,74164Q,PRIMCO MANAGEMENT INC
183,AHMADI SIRUS,CPYE,21032P,CONSPIRACY ENTERTAINMENT HOLDI
184,AHMAN PETER BIRGER,MBLV,60742Q,MOBILEMAIL US INC
185,AHMED HASSAN M,SONS,835916,SONUS NETWORKS INC
186,AHMED NADIM,CGEM,230031,CULLINAN ONCOLOGY INC
187,AHMED OSMAN,FOUN,G3661E,FOUNDER SPAC
188,AHN CHANG HO,RNN,761640,REXAHN PHARMACEUTICALS INC
189,AHN MARK J,HNAB,40963P,HANA BIOSCIENCES INC
190,AHN SUNG TAE,LDIS,52171N,LEADIS TECHNOLOGY INC
191,AHO RICHARD E,MMRK,599214,MILE MARKER INTERNATIONAL INC
192,AICHELE WILLIAM S,UVSP,915271,UNIVEST CORP OF PENNSYLVANIA
193,AIKEN ROBERT BLAINE JR,ESND,296689,ESSENDANT INC
194,AIMASIKO TAIWO,BMXC,081360,BEMAX INC
195,AIMERS ALBERT,CLKZ,18682T,CLICKER INC
196,AIN ARON J,-,501052,KRONOS INC
198,AINSWORTH ANNE MARIE,OILT,678049,OILTANKING PARTNERS L P
199,AITCHISON ALAN,FNGC,306067,FALCON NATURAL GAS CORP
200,AITKEN TIMOTHY M,AHCI,01923A,ALLIED HEALTHCARE INTERNATIONA
201,AIU RENE G,EVLV,300487,EVINE LIVE INC
202,AIZPURU LUIS IGANCIO SOLORZA,ACAM,004285,ACAMAR PARTNERS ACQUISITION CO
203,AJJARAPU J RAM,NXGN,M74896,NEXGEN BIOFUELS LTD
204,AJJARAPU SURENDRA K,TRXD,89846A,TRXADE GROUP INC
205,AKAM RICHARD W,ANPZ,029281,AMERICAN RESTAURANT CONCEPTS I
206,AKDAG MENDERES,PETS,716382,PETMED EXPRESS INC
207,AKERFELDT STEPHEN CARL,-,33765W,FIRSTGOLD CORP
208,AKEROYD KEVIN D,CISN,G1992S,CISION LTD
209,AKERS DARRYL E,PBSK,730206,POAGE BANKSHARES INC
210,AKERS JOHN K,ATO,049560,ATMOS ENERGY CORP
211,AKERSON DANIEL F,GM,37045V,GENERAL MOTORS CO
212,AKILIAN ELIE S,-,45662V,INET TECHNOLOGIES INC
213,AKIN THOMAS B,DX,26817Q,DYNEX CAPITAL INC
214,AKINKUGBE OLAYEMI,CNX,12653C,CNX RESOURCES CORP
215,AKINS NICHOLAS K,AEP,025537,AMERICAN ELECTRIC POWER CO INC
216,AKINS ROBERT P,CYMI,232572,CYMER INC
217,AKLOG LISHAN,PAVM,70387R,PAVMED INC
218,AKRADI BAHRAM,LTM,53217R,LIFE TIME FITNESS INC
219,AKRE DAVID A,NYMT,649604,NEW YORK MORTGAGE TRUST INC
220,AL-FAYEZ ROXANE,HSNI,404303,HSN INC NEW
221,AL-SIDDIQ WAQAAS,BTCY,09074H,BIOTRICITY INC
222,ALAIX JUAN RAMON,ZTS,98978V,ZOETIS INC
223,ALALA JOSEPH B III,CPTA,14054R,CAPITALA FINANCE CORP
224,ALARCON RAUL  JR,SBSA,846425,SPANISH BROADCASTING SYSTEM IN
225,ALARIO RICHARD J,KEG,492914,KEY ENERGY SERVICES INC
226,ALATARIS KONSTANTINOS PHD,ZSAN,98979H,ZOSANO PHARMA CORP
227,ALBANESE BERNARD JOSEPH,ISWI,45840F,INTERACTIVE SYSTEMS WORLDWIDE
228,ALBANNA AMRO A,AGAC,00506B,ACTIGA CORP
229,ALBAUGH JAMES F,BA,097023,BOEING CO
230,ALBE ALVIN R JR,TSI,872340,TCW STRATEGIC INCOME FUND INC
231,ALBER LAURA J,WSM,969904,WILLIAMS-SONOMA INC
233,ALBERGA DAVID A,ACTV,00506D,ACTIVE NETWORK INC
234,ALBERINI CARLOS E,RH,761283,RESTORATION HARDWARE HOLDINGS
235,ALBERS JEFFREY W,BPMC,09627Y,BLUEPRINT MEDICINES CORPORATIO
236,ALBERT ANDREW B,NSHA,631226,NASHUA CORP
237,ALBERTSON MARTIN,GTRC,402040,GUITAR CENTER INC
238,ALBERY MALCOLM,BCOZ,05536B,BCO HYDROCARBON LTD
239,ALBRECHT CHRISTOPHER P,STRZ,85571Q,STARZ
241,ALBRECHTSEN BRADLEY C,NVH,637277,NATIONAL R V HOLDINGS INC
242,ALBRIGHT JOHN P,CTO,210226,CONSOLIDATED TOMOKA LAND CO
243,ALBRO DUANE W,ALTV,02153V,ALTEVA INC
244,ALDAG EDWARD K JR,MPW,58463J,MEDICAL PROPERTIES TRUST INC
245,ALDAG JORN,HOOK,43906K,HOOKIPA PHARMA INC
246,ALDER KENTON K,TTMI,87305R,TTM TECHNOLOGIES INC
247,ALDERSON ROBERT E,KIRK,497498,KIRKLAND S INC
248,ALDRICH BERNARD P,RIMG,766721,RIMAGE CORP
249,ALDRICH DAVID J,SWKS,83088M,SKYWORKS SOLUTIONS INC
250,ALDRICH KENNETH C,ISCO,460378,INTERNATIONAL STEM CELL CORP D
251,ALDRICH ROBERT G,DSTI,23962Q,DAYSTAR TECHNOLOGIES INC
252,ALDWORTH ALAN W,VLCY,92908U,PROQUEST CO
253,ALEMAN AURELIO,FBP,318672,FIRST BANCORP PR
255,ALEMANY ELLEN R,CIT,125581,CIT GROUP INC
257,ALESIO STEVEN W,DNB,26483E,DUN & BRADSTREET CORP DE NEW
258,ALESSI KEITH E,WLB,960878,WESTMORELAND COAL CO
259,ALESSI WILLIAM ROSARIO JR,MPSP,58504M,MEDPRO SAFETY PRODUCTS INC
260,ALEXANDER ANDREW M,WRI,948741,WEINGARTEN REALTY INVESTORS
261,ALEXANDER ANTHONY J,FE,337932,FIRSTENERGY CORP
262,ALEXANDER CHRISTOPHER S,HYC,44913M,HYPERCOM CORP
263,ALEXANDER DENNIS R,EFIR,268487,EGPI FIRECREEK INC
264,ALEXANDER GARY D,GGRI,39715P,GREENWOOD GOLD RESOURCES INC
265,ALEXANDER JAMES E,ISON,464895,ISONICS CORP
266,ALEXANDER JAMES HAROLD,WDAM,98142E,WORLD AM INC
267,ALEXANDER JOHN DAVID,ALCO,016230,ALICO INC
268,ALEXANDER JOHN H,YUMA,98872F,YUMA ENERGY INC NEW
270,ALEXANDER JOHN WADE,NFBK,66611T,NORTHFIELD BANCORP INC DE
271,ALEXANDER KEITH BRIAN,IRNT,46323Q,IRONNET INC
272,ALEXANDER KOBI,-,205862,COMVERSE TECHNOLOGY INC
273,ALEXANDER MARK ADAM,SPH,864482,SUBURBAN PROPANE PARTNERS L P
274,ALEXANDER MICHAEL D,CSHD,21254V,FURIA ORGANIZATION INC
275,ALEXANDER MICHAEL J,NODK,65342T,NI HOLDINGS INC
276,ALEXANDER MICHAEL S,RCGP,750248,RADIANT CREATIONS GROUP INC
277,ALEXANDER NORMAN E,-,817320,SEQUA CORP
278,ALEXANDER PATRICK L,LARK,51504L,LANDMARK BANCORP INC
279,ALEXANDER PETER,STCK,05591B,BMC STOCK HOLDINGS INC
281,ALEXANDER R DAVID JR,CTRN,17306X,CITI TRENDS INC
282,ALEXANDER ROBERT,ZSPH,98979G,ZS PHARMA INC
283,ALEXANDER STANFORD J,WRI,948741,WEINGARTEN REALTY INVESTORS
284,ALEXOPOULOS PANTELIS S,MRVL,G5876H,MARVELL TECHNOLOGY GROUP LTD
285,ALFANO FRANCIS J,MTMC,62474G,MTM TECHNOLOGIES INC
286,ALFERS STEPHEN D,PGLC,715302,PERSHING GOLD CORP
287,ALFIERI MARK T,MORE,60979P,MONOGRAM RESIDENTIAL TRUST INC
288,ALFONSI MARCO,CANB,13470W,CAN B CORP
289,ALI FARAZ,TNYA,87990A,TENAYA THERAPEUTICS INC
290,ALI KEVIN,OGN,68622V,ORGANON & CO
291,ALI MOHAMAD,CARB,141337,CARBONITE INC
292,ALI NADIR,SYRX,87184N,SYSOREX GLOBAL HOLDINGS CORP
293,ALI SYED B,CAVM,14965A,CAVIUM NETWORKS INC
294,ALIKSANYAN ALEX,RBIZ,75604A,REALBIZ MEDIA GROUP INC
295,ALIMANESTIANU ALEXANDER A,CLUB,89214A,TOWN SPORTS INTERNATIONAL HOLD
296,ALIMI HOJABR,OCLS,67575P,OCULUS INNOVATIVE SCIENCES INC
297,ALIPERTI FIORE,SFDX,800452,SANFORD EXPLORATION INC
298,ALKIRE MICHAEL J,PINC,74051N,PREMIER INC
299,ALLAIN JEAN MARC,TLX,893247,TRANS LUX CORP
300,ALLAIRE BRUNO P,KYLK,493121,KEY LINK ASSETS CORP
301,ALLAIRE JEREMY D,BCOV,10921T,BRIGHTCOVE INC
302,ALLAN DONALDJR,SWK,854502,STANLEY BLACK & DECKER INC
303,ALLAN GEOFFREY Z,INSM,457669,INSMED INC
304,ALLBRITTON ROBERT L,-,766570,RIGGS NATIONAL CORP
305,ALLEMAN BRIAN PAUL,SMTK,829204,SIMTEK CORP
307,ALLEN A WILLIAM III,-,67104A,OUTBACK STEAKHOUSE INC
308,ALLEN ALLEN D,CYDY,23283M,CYTODYN INC
309,ALLEN ANDREW R,GRTS,39868T,GRITSTONE ONCOLOGY INC
310,ALLEN CHARLES E JR,SFKT,856878,STATE OF FRANKLIN BANCSHARES I
311,ALLEN CHARLES W,BTCS,05581M,BTCS INC
312,ALLEN D RONALD,GLBN,378978,GLOBAL INNOVATION CORP
313,ALLEN HERBERT R,IESC,45811E,INTEGRATED ELECTRICAL SERVICES
314,ALLEN JOHN C,EGAS,367204,GAS NATURAL INC
315,ALLEN JOHN J,PTRA,74374T,PROTERRA INC
317,ALLEN NEAL M,DNRG,25754X,DOMINOVAS ENERGY CORP
318,ALLEN RICHARD F SR,RNCP,776292,RONCO CORP
319,ALLEN ROBERT B,CFL,109699,BRINK S HOME SECURITY HOLDINGS
320,ALLEN RONALD W,AAN,002535,AARON S INC
321,ALLEN SAMUEL R,DE,244199,DEERE & CO
322,ALLEN SIMON,CWBR,19249J,COHBAR INC
323,ALLES MARK J,CELG,151020,CELGENE CORP
324,ALLEY ALLEN H,PXLW,72581M,PIXELWORKS INC
325,ALLEY MICHAEL J,IBNK,45814P,INTEGRA BANK CORP
326,ALLGOOD KIVA A,STRC,80359A,SARCOS TECHNOLOGY AND ROBOTICS
327,ALLIN MARK J,JWA,968223,JOHN WILEY & SONS INC
328,ALLINGHAM DENNIS J,-,532187,LIFECORE BIOMEDICAL INC
329,ALLINGTON ROBERT W,-,464268,ISCO INC
330,ALLIO MARK S,CFBK,15346Q,CENTRAL FEDERAL CORP
331,ALLISON CHRISTIAN L,TLGD,889542,TOLLGRADE COMMUNICATIONS INC
332,ALLISON JOHN A IV,BBT,054937,BB&T CORP
333,ALLISON JOHN W,HOMB,436893,HOME BANCSHARES INC
334,ALLISON MILES JAY,CRK,205768,COMSTOCK RESOURCES INC
335,ALLISON PAUL D,RJF,754730,RAYMOND JAMES FINANCIAL INC
336,ALLISON R DIRK,ADUS,006739,ADDUS HOMECARE CORP
337,ALLISON RICHARD E JR,DPZ,25754A,DOMINO'S PIZZA INC
338,ALLMAN KEITH J,MAS,574599,MASCO CORP
339,ALLON GIL,OISI,683737,OPHTHALMIC IMAGING SYSTEMS INC
340,ALLORTO RICHARD T JR,SAR,80349A,SARATOGA INVESTMENT CORP
341,ALLOTT ANTHONY J,SLGN,827048,SILGAN HOLDINGS INC
342,ALLRED JEFFREY A,PGI,740585,PREMIERE GLOBAL SERVICES INC
343,ALM JOHN R,CCE,G25839,COCA COLA ENTERPRISES INC NEW
344,ALMEIDA JOSE E,-,G2554F,COVIDIEN PLC
345,ALMEIDA JOSE E,BAX,071813,BAXTER INTERNATIONAL INC
346,ALMEIDA ODILON,ACIW,004498,ACI WORLDWIDE INC
347,ALMGREN AKE,ACPW,00504W,ACTIVE POWER INC
348,ALOI EMILIANO ANGEL,EXDI,69810P,PANACEA LIFE SCIENCES HOLDINGS
349,ALON ZVI,NETM,641144,NETMANAGE INC
350,ALONI YOSEF,SEAC,811699,SEACHANGE INTERNATIONAL INC
351,ALROY LIORE,-,64108N,NET2PHONE INC
352,ALRUTZ MICHAEL ALBERT,CMRX,16934W,CHIMERIX INC
353,ALSENTZER MARK S,PREA,74623L,PURE EARTH INC
354,ALSOP JOSEPH WRIGHT,PRGS,743312,PROGRESS SOFTWARE CORP
355,ALSTODT LANCE,BRTX,090655,BIORESTORATIVE THERAPIES INC
356,ALSTON L LEIGHTON,WGNB,92923K,WGNB CORP
357,ALSTON VICTOR,XXIA,45071R,IXIA
358,ALT JAXIE S,SNAX,863685,STRYVE FOODS INC
359,ALTABEF PETER A,PER,714265,PEROT SYSTEMS CORP
360,ALTER ROBERT A,SHO,867892,SUNSTONE HOTEL INVESTORS INC N
361,ALTHAUS PINCHAS T,DMNM,257455,DOMINION MINERALS CORP
362,ALTMAN MICHAEL HENRY,AXIO,05463U,AXIOM OIL AND GAS CORP
363,ALTMAN PETER,BCDA,09060U,BIOCARDIA INC
365,ALTMAN ROGER C,EVR,29977A,EVERCORE PARTNERS INC NEW
366,ALTMAN SAMUEL H,ALCC,02156V,ALTC ACQUISITION CORP
367,ALTOMARI ALFRED,-,06850R,BARRIER THERAPEUTICS INC
368,ALTOUNIAN BRIAN,WWIO,98212D,WOWIO INC
369,ALTSCHAEFL MICHAEL W,OESX,686275,ORION ENERGY SYSTEMS INC
370,ALTSCHUL ARTHUR G JR,GAM,368802,GENERAL AMERICAN INVESTORS CO
372,ALTSCHULER RANDOLPH,XMTR,98423F,XOMETRY INC
373,ALUTTO CHARLES A,SRCL,858912,STERICYCLE INC
374,ALVARADO JOSEPH,CMC,201723,COMMERCIAL METALS CO
375,ALVAREZ ANTONIO R,LDIS,52171N,LEADIS TECHNOLOGY INC
376,ALVAREZ GEORGE,CHTL,16944J,CHINA TEL GROUP INC
377,ALVAREZ IGNACIO,BPOP,733174,POPULAR INC
378,ALVAREZ LUKE LYON,HDRA,45782N,INSPIRED ENTERTAINMENT INC
379,ALVAREZ PEREZ ANGEL A,FBP,318672,FIRST BANCORP PR
380,ALVERSON WILLIAM M,TVLS,89421L,JOYSTAR INC
381,AMAITIS LEE M,BGCP,05541T,BGC PARTNERS INC NEW
382,AMARAL ROBERT SCOTT,EXEO,30162T,EXEO ENTERTAINMENT INC
383,AMATO FRANCIS R,ECOR,28531P,ELECTROCORE INC
384,AMATO GREG,EPLN,294276,EPOLIN INC
385,AMATO JACQUELINE B,TOWN,89214P,TOWNE BANK
386,AMATO JERRY S,VWPT,92672P,VIEWPOINT CORP DE
387,AMATO THOMAS A,TRS,896215,TRIMAS CORP
388,AMBOIAN JOHN P,-,67090F,NUVEEN INVESTMENTS INC
389,AMBROSEO JOHN R,COHR,192479,COHERENT INC
390,AMELIO GILBERT F,JAZU,47214E,ACQUICOR TECHNOLOGY INC
391,AMELL THOMAS L,PBFS,723561,PIONEER BANCORP INC
392,AMEN ROBERT M,IFF,459506,INTERNATIONAL FLAVORS & FRAGRA
393,AMERSON ROBERT R,FLDR,338494,FLANDERS CORP
394,AMES DAVID R,XNL,98420A,XETHANOL CORP NEW
395,AMHURST OLLIVER,LOTE,54567W,LOT78 INC
